sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,time_round,date_group,tn_avg,nh4n_avg,no3n_avg,tp_avg,po4_avg,doc_avg,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,tn_avg_grams,nh4n_avg_grams,no3n_avg_grams,tp_avg_grams,po4_avg_grams,doc_avg_grams,tn_avg_kg,nh4n_avg_kg,no3n_avg_kg,tp_avg_kg,po4_avg_kg,doc_avg_kg,tn_avg_ha,nh4n_avg_ha,no3n_avg_ha,tp_avg_ha,po4_avg_ha,doc_avg_ha
716,2018-04-05T15:40:00Z,NA,NA,SFC,111,7.4,2.14,0.01,0.03,0,0,0.012,1.58,2018-04-05T15:40:00Z,31,0.030000000000000002,0.03,0.0105,0,0.027000000000000003,0.9600000000000001,14967640.8,6.0200000000000005,33.43976943699732,46.191793212754284,0.67,188,423836394.4845576,0.019750656800000002,0.3279577069894881,0.060223182377089436,23247938.8324404,25524800.000000004,697.4381649732121,697.438164973212,244.1033577406242,0,627.6943484758908,22318.021279142788,0.6974381649732121,0.697438164973212,0.2441033577406242,0,0.6276943484758908,22.318021279142787,0.0016449013324839907,0.0016449013324839905,5.757154663693966e-4,0,0.0014804111992355914,0.0526368426394877
759,2018-04-10T20:00:00Z,NA,NA,SFC,126,7.18,10.3,0.34,0.02,0,0.007,0.021,2.3,2018-04-10T20:00:00Z,32,0.17500000000000002,0.025,0,0.0035,0.0165,1.94,2430,0,4.05,NaN,4.05,4.05,68809.93821,0,5.324401077185498e-5,0,423836394.4845576,0,74171.3690347976,10595.909862113942,0,1483.4273806959516,6993.300508995201,822242.6053000418,74.17136903479759,10.595909862113942,0,1.4834273806959517,6.993300508995201,822.2426053000418,0.17493247413867358,0.02499035344838194,0,0.003498649482773471,0.01649363327593208,1.9392514275944381
764,2018-04-10T20:10:00Z,NA,NA,SFC,9,6.56,2.41,0.4,0.01,0,0.062,0.07,1.03,2018-04-10T20:10:00Z,33,0.37,0.015,0,0.0345,0.045500000000000006,1.665,627138,0.73,4.0201153846153845,0.7017267630320578,3.12,5.08,17758570.793886,0.0023950132,0.013741293180016292,0.17429314465708537,68809.93821,3095200,25.459677137699998,1.0321490731499998,0,2.373942868245,3.130852188555,114.56854711964999,0.025459677137699997,0.0010321490731499997,0,0.0023739428682449997,0.0031308521885549997,0.11456854711964999,6.004640834363207e-5,2.434313851768867e-6,0,5.598921859068396e-6,7.384085350365566e-6,2.702088375463443e-4
742,2018-04-12T15:30:00Z,NA,NA,SFC,35,7.01,24.9,2.29,0.45,0,0.33,0.061,1.27,2018-04-12T15:30:00Z,34,1.345,0.23,0,0.196,0.0655,1.15,2486934,0.74,2.336465614430665,0.9598799450812822,1.02,4.88,70422129.577098,0.0024278216,0.05449149822423555,0.0445541355829377,17758570.793886,3137600,23885.277717776666,4084.4712825937795,0,3480.679875601656,1163.186386999533,20422.356412968897,23.885277717776667,4.08447128259378,0,3.480679875601656,1.1631863869995331,20.422356412968895,0.05633320216456761,0.009633186987249482,0,0.008209150650003905,0.002743364120281918,0.04816593493624739
834.5,2018-04-24T23:05:00Z,NA,NA,SFC PPT,16,6.72,4.36,0.57,0.02,0,0.059,0.03,NA,2018-04-24T23:10:00Z,35,1.43,0.23500000000000001,0,0.1945,0.0455,NA,1842,0,1.0233333333333334,0.005773502691896263,1.02,1.03,52159.632174,0,4.036027483199871e-5,0,70422129.577098,0,100703.64529525013,16549.20045061803,0,13697.10420274556,3204.2068957579586,NA,100.70364529525013,16.54920045061803,0,13.69710420274556,3.2042068957579586,NA,0.23750859739445784,0.039031133138250074,0,0.03230449104421123,0.007557091735278204,NA
790,2018-04-24T23:35:00Z,NA,NA,SFC,152,7.16,1.66,0.28,0.01,0,0,0.007,1.69,2018-04-24T23:40:00Z,36,0.425,0.015,0,0.0295,0.0185,NA,1024404.6,0.42,0.7008788998357964,0.14792850994864756,0.483,1.02,29007908.3242962,0.0013779528,0.02244584755437769,0.06139009884397318,52159.632174,1780799.9999999998,22.16784367395,0.78239448261,0,1.538709149133,0.9649531952189999,NA,0.02216784367395,7.8239448261e-4,0,0.001538709149133,9.649531952189999e-4,NA,5.2282650174410376e-5,1.8452700061556603e-6,0,3.629031012106132e-6,2.275833007591981e-6,NA
806,2018-05-11T21:40:00Z,NA,NA,SFC,168,7.77,1.32,0.26,0.01,0,0.007,0.021,1.48,2018-05-11T21:40:00Z,37,0.27,0.01,0,0.0035,0.014,1.585,306,0,0.51,NaN,0.51,0.51,8664.955182,0,6.704801356455812e-6,0,29007908.3242962,0,7832.135247559974,290.07908324296204,0,101.52767913503669,406.11071654014677,45977.534694009475,7.832135247559974,0.290079083242962,0,0.1015276791350367,0.4061107165401468,45.97753469400948,0.018472017093301825,6.84148781233401e-4,0,2.3945207343169033e-4,9.578082937267613e-4,0.10843758182549405
807,2018-05-11T21:45:00Z,NA,NA,SFC PPT,114,7.49,29.9,7.36,NA,0,1.449,3.293,4.08,2018-05-11T21:50:00Z,38,3.81,NA,0,0.728,1.657,2.7800000000000002,750446.4,0.4,0.46017071376011776,0.033802261102702166,0.373,0.531,21250275.8905008,0.001312336,0.01644311777995876,0.0798106549841481,8664.955182,1696000,33.01347924342,NA,0,6.308087372495999,14.357830736574,24.08857540596,0.03301347924342,NA,0,0.006308087372495999,0.014357830736574,0.02408857540596,7.786197934768867e-5,NA,0,1.4877564557773582e-5,3.386280834097641e-5,5.681267784424528e-5
822,2018-05-30T18:45:00Z,NA,NA,SFC PPT,54,7.27,30.4,4.17,0.01,0,0.423,0.007,1.71,2018-05-30T18:50:00Z,40,5.765000000000001,NA,0,0.936,1.6500000000000001,2.895,621093,0.22,0.3237894901470128,0.030764301022748904,0.269,0.414,17587395.453771,7.217848e-4,0.013608840486552974,0.053037935209337084,21250275.8905008,932800,122507.84050873712,NA,0,19890.258233508746,35062.955219326315,61519.54870299982,122.50784050873712,NA,0,19.890258233508746,35.06295521932632,61.51954870299981,0.28893358610551206,NA,0,0.046910986399784776,0.08269564910218472,0.1450932752429241
821,2018-05-30T18:50:00Z,NA,NA,SFC,168,7.3,1.1,0.2,1.4,0,0.004,0.571,3.93,2018-05-30T18:50:00Z,40,2.185,0.705,0,0.2135,0.289,2.8200000000000003,621093,0.22,0.3237894901470128,0.030764301022748904,0.269,0.414,17587395.453771,7.217848e-4,0.013608840486552974,0.053037935209337084,17587395.453771,932800,38428.45906648964,12399.113794908553,0,3754.908929380108,5082.757286139818,49596.45517963422,38.42845906648964,12.399113794908553,0,3.7549089293801083,5.082757286139818,49.59645517963422,0.09063315817568311,0.02924319291252017,0,0.008855917286273841,0.011987635108820324,0.1169727716500807
849,2018-06-21T23:35:00Z,NA,NA,SFC,161,7.28,0.77,0.28,0.01,0,0.034,0.002,2.05,2018-06-21T23:40:00Z,41,0.24000000000000002,0.705,0,0.019000000000000003,0.2865,2.99,219416.4,0,0.23654204398447606,0.022919357247986917,0.194,0.296,6213180.6280908,0,0.004807658092642651,0,17587395.453771,0,4220.97490890504,12399.113794908553,0,334.160513621649,5038.788797505391,52586.31240677529,4.22097490890504,12.399113794908553,0,0.334160513621649,5.038788797505391,52.586312406775285,0.009955129502134528,0.02924319291252017,0,7.881144189189835e-4,0.011883935843173092,0.12402432171409265
852,2018-07-02T17:15:00Z,NA,NA,SFC,160,7.17,3.01,0.27,0.01,0,0.034,0.002,2.2,2018-07-02T17:20:00Z,42,0.275,0.01,0,0.034,0.002,2.125,283865.4,0,0.18252662037037037,0.012682449470940441,0.149,0.215,8038173.1003938,0,0.006219807578336183,0,6213180.6280908,0,1708.6246727249702,62.131806280908,0,211.2481413550872,12.426361256181599,13203.00883469295,1.70862467272497,0.062131806280908,0,0.21124814135508718,0.012426361256181599,13.20300883469295,0.004029775171521156,1.4653727896440566e-4,0,4.982267484789792e-4,2.930745579288113e-5,0.031139171779936203
875,2018-07-20T17:20:00Z,NA,NA,SFC,156,7.34,1.61,0.12,0.01,0.066485746,0.034,0.002,1.9,2018-07-20T17:20:00Z,43,0.195,0.01,0.033242873,0.034,0.002,2.05,151706.4,0,0.14439977155910907,0.010403904758959491,0.129,0.178,4295846.917720799,0,0.003324056459160222,0,8038173.1003938,0,1567.443754576791,80.381731003938,267.21196752840734,273.2978854133892,16.0763462007876,16478.25485580729,1.567443754576791,0.080381731003938,0.26721196752840737,0.27329788541338923,0.0160763462007876,16.47825485580729,0.0036968013079641295,1.8957955425457076e-4,6.302169045481306e-4,6.445704844655406e-4,3.791591085091415e-5,0.038863808622187
880,2018-08-01T21:10:00Z,NA,NA,SFC,158,7.14,2.28,0.13,0.01,0,0.036,0,1.61,2018-08-01T21:10:00Z,44,0.125,0.01,0.033242873,0.035,0.001,1.755,251386.2,0.01,0.112025935828877,0.010674684094126124,0.0983,0.145,7118464.5633114,3.28084e-5,0.0055081520743603665,0.0059563351841206875,4295846.917720799,42400,536.9808647150999,42.958469177207995,142.80629351323398,150.354642120228,4.2958469177208,7539.211340600003,0.5369808647150999,0.042958469177208,0.14280629351323398,0.150354642120228,0.0042958469177208,7.539211340600002,0.0012664643035733487,1.0131714428586791e-4,3.368072960217783e-4,3.5461000500053774e-4,1.0131714428586792e-5,0.017781158822169817
892,2018-08-27T20:30:00Z,NA,NA,SFC,154,7.22,0.82,0.03,0.01,0,0.031,0.002,0.58,2018-08-27T20:30:00Z,45,0.08,0.01,0,0.0335,0.001,1.095,164802.48,0,0.08772622165442351,0.011834907985677297,0.0655,0.109,4666686.61138056,0,0.00361100618121334,0,7118464.5633114,0,569.477165064912,71.184645633114,0,238.4685628709319,7.1184645633114,7794.718696825983,0.5694771650649121,0.07118464563311401,0,0.2384685628709319,0.0071184645633114,7.794718696825983,0.0013431065213795096,1.678883151724387e-4,0,5.624258558276696e-4,1.6788831517243867e-5,0.018383770511382035
906,2018-09-18T14:20:00Z,NA,NA,SFC,65,9.38,1.79,0.08,0.01,0.085764411,0.039,0.002,0.85,2018-09-18T14:20:00Z,46,0.055,0.01,0.0428822055,0.035,0.002,0.715,83384.16,0.8300000000000001,0.06759416342412451,0.03716631883110724,0.0508,0.305,2361176.50094352,0.0027230972000000003,0.001827039964297152,1.4904420555724158,4666686.61138056,3519200,256.66776362593083,46.666866113805604,200.11781427331982,163.33403139831964,9.333373222761121,3336.6809271371008,0.2566677636259308,0.046666866113805605,0.20011781427331982,0.16333403139831965,0.009333373222761121,3.3366809271371007,6.053484991177614e-4,1.1006336347595661e-4,4.719759770597166e-4,3.8522177216584823e-4,2.2012672695191324e-5,0.007869530488530898
924,2018-10-02T21:00:00Z,NA,NA,SFC,166,7.15,0.96,0.16,0.01,0,0.126,0.014560154,2.59,2018-10-02T21:00:00Z,47,0.12,0.01,0.0428822055,0.0825,0.008280077,1.72,112573.5,0.27,0.09306671626984127,0.023295980086048752,0.0637,0.183,3187726.5757545,8.858268000000001e-4,0.0024666109656894717,0.3591270825930153,2361176.50094352,1144800.0000000002,283.3411801132224,23.611765009435203,101.25245593523097,194.7970613278404,19.55072323840292,4061.2235816228545,0.2833411801132224,0.023611765009435202,0.10125245593523097,0.19479706132784042,0.019550723238402918,4.061223581622854,6.68257500267034e-4,5.568812502225284e-5,2.388029621113938e-4,4.5942703143358587e-4,4.611019631698801e-5,0.009578357503827486
925,2018-10-16T21:00:00Z,NA,NA,SFC,188,7.32,0.82,0.1,0.01,0,0.039,0.002514464,1.85,2018-10-16T21:00:00Z,48,0.13,0.01,0,0.0825,0.008537309,2.2199999999999998,54826.560000000005,0,0.07116635514018692,0.004413419850803561,0.062,0.0804,1552515.31105632,0,0.0012013110910385817,0,3187726.5757545,0,414.404454848085,31.877265757545,0,262.9874424997463,27.214606784728076,7076.752998174989,0.414404454848085,0.031877265757545,0,0.26298744249974626,0.027214606784728076,7.07675299817499,9.773689972832195e-4,7.518223056024764e-5,0,6.202534021220431e-4,6.418539336020772e-5,0.016690455184374977
931,2018-10-25T19:00:00Z,NA,NA,SFC,191,7.37,0.42,0.17,0.01,0.09,0.036,0.002,2.1,2018-10-25T19:00:00Z,49,0.135,0.01,0.045,0.0375,0.002257232,1.975,106136.82,0.09,0.060809453420419386,0.007258476760310291,0.0516,0.0804,3005460.09300654,2.952756e-4,0.0023255761264898904,0.12696879566169025,1552515.31105632,381600,209.5895669926032,15.525153110563203,69.8631889975344,58.219324164612,3.5043872406062797,3066.217739336232,0.20958956699260323,0.015525153110563203,0.0698631889975344,0.058219324164612,0.0035043872406062796,3.066217739336232,4.943150164919887e-4,3.661592714755472e-5,1.6477167216399623e-4,1.373097268033302e-4,8.265064246712923e-6,0.007231645611642057
943,2018-11-14T22:50:00Z,NA,NA,SFC,151,7.34,0.81,0.09,0.01,0.01,0.036,0.005,1.18,2018-11-14T22:50:00Z,50,0.13,0.01,0.049999999999999996,0.036,0.0035,1.6400000000000001,241848.54,3.39,0.21811737012987012,0.3446677372364972,0.0524,2.48,6848388.10435338,0.0111220476,0.005299171304081235,2.09882771508711,3005460.09300654,14373600.000000002,390.7098120908502,30.0546009300654,150.273004650327,108.19656334823543,10.51911032552289,4928.954552530727,0.3907098120908502,0.0300546009300654,0.150273004650327,0.10819656334823544,0.01051911032552289,4.928954552530726,9.214854058746467e-4,7.088349275958821e-5,3.54417463797941e-4,2.551805739345175e-4,2.4809222465855873e-5,0.011624892812572467
