sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc
124,1/5/2017 3:50,7 UQ 07,SF,UQL,94,7.47,36,0.08,0,0,0.033,0.001,5.33
125,1/9/2017 4:40,7 UQ 11,SF,UQL,89,7.48,28,0.13,0.09,0,0.035,0.003,4.19
126,1/23/2017 11:30,11 DU 19 MAN-UAC,SF,UQL,90,7.4,23.9,0.06,0.02,0,0.03,0.001,3.36
127,1/19/2017 23:00,11 DU 16,SF,UQL,97,7.47,26.3,0.14,0.04,0,0.047,0.006,3.78
128,1/20/2017 5:00,11 DU 19,SF,UQL,97,7.44,28,0.14,0.04,0.01,0.05,0.012,4.9
129,1/2/2017 17:00,11 DU 23,SF,UQL,92,7.45,31.9,0.07,0,0,0.027,0.001,5.13
130,1/20/2017 19:00,11 DU 24,SF,UQL,85,7.5,26.8,0.13,0.01,0.01,0.024,0,4.31
131,1/8/2017 8:00,9 DZ 05,SF,ZIE,87,7.5,28.9,0.13,0,0,0.03,0.003,5.5
132,1/3/2017 20:20,9 DZ 101,SF,ZIE,96,7.5,35.5,0.12,0.04,0.01,0.024,0.001,7.12
133,1/8/2017 12:00,9 DZ 07,SF,ZIE,79,7.51,44.8,0.15,0,0,0.033,0.001,5.83
134,1/8/2017 14:00,9 DZ 08,SF,ZIE,73,7.45,65.3,0.15,0,0.01,0.035,0.001,6.62
135,1/8/2017 16:00,9 DZ 09,SF,ZIE,73,7.47,54.3,0.11,0,0.01,0.033,0.001,5.54
136,1/20/2017 4:30, DZ 11,SF,ZIE,78,7.43,86.9,0.42,0.01,0,0.041,0.001,4.23
137,1/20/2017 10:30,PK DZ 14,SF,ZIE,75,7.36,52,0.34,0.01,0,0.027,0.001,4.28
138,1/10/2017 12:00,R 10 DZ 02,SF,ZIE,65,7.35,137,0.25,0.03,0.01,0.071,0.001,5.56
139,1/9/2017 0:00,9 DZ 13,SF,ZIE,81,7.44,35.4,0.07,0,0,0.047,0.017,3.83
140,1/9/2017 18:00,9 DZ 22,SF,ZIE,87,7.45,23.6,0.07,0.01,0,0.021,0.001,3.39
141,1/4/2017 21:10,9 DZ 109,SF,ZIE,95,7.5,25,0.1,0.03,0,0.024,0.001,3.16
142,1/10/2017 10:00, DZ 01,SF,ZIE,67,7.49,124,0.43,0,0.01,0.066,0.003,5.4
143,1/11/2017 20:00,10 DZ 06 F,SF,ZIE,69,7.38,635,1.1,0.01,0,0.229,0.003,3.54
144,1/20/2017 0:30, DZ 09,SF,ZIE,86,7.38,35.4,0.26,0.02,0.01,0.021,0.001,3.18
145,1/21/2017 6:30,DZ 24,SF,ZIE,82,7.48,24.2,0.1,0.05,0.01,0.018,0,3.55
146,1/10/2017 14:00,PK 10 DZ 03,SF,ZIE,63,7.46,150,0.4,0,0.01,0.077,0.003,5.32
147,1/3/2017 23:40,8 DZ 103,SF,ZIE,92,7.51,39.1,0.16,0.02,0.01,0.03,0.001,6.15
148,1/11/2017 10:00,F 10 DZ 13,SF,ZIE,78,7.62,27.5,0.45,0.04,0,0.021,0.001,3.42
149,1/21/2017 13:20,D 11 Zi11,SF,ZIE,83,7.51,23.2,0.38,0,0,0.015,0.001,3.02
150,1/10/2017 10:10,12 DW01 R,SF,WIL,86,7.51,185,0.25,0.03,0.01,0.1,0.006,5.53
